
2025/04/26 (22:10:07) | ===> btop++ v.1.4.0
2025/04/26 (22:10:07) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (17:42:14) | ===> btop++ v.1.4.0
2025/04/28 (17:42:14) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (21:21:28) | ===> btop++ v.1.4.0
2025/05/07 (21:21:28) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (21:24:45) | ===> btop++ v.1.4.0
2025/05/07 (21:24:45) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (17:54:25) | ===> btop++ v.1.4.0
2025/05/08 (17:54:25) | WARNING: Failed to join _runner thread on exit!

2025/05/08 (20:50:13) | ===> btop++ v.1.4.0
2025/05/08 (20:50:13) | WARNING: Failed to join _runner thread on exit!

2025/05/10 (13:59:33) | ===> btop++ v.1.4.0
2025/05/10 (13:59:33) | WARNING: Failed to join _runner thread on exit!

2025/06/02 (16:48:32) | ===> btop++ v.1.4.0
2025/06/02 (16:48:32) | WARNING: Failed to join _runner thread on exit!
